,uid,level,SSDM
1038,543.0,1,23.0
1039,945.0,1,23.0
1040,546.0,1,36.0
1041,555.0,1,41.0
1042,560.0,1,65.0
1043,646.0,1,65.0
1044,822.0,1,65.0
1045,1135.0,1,65.0
1046,565.0,1,42.0
1047,602.0,1,21.0
1048,608.0,1,31.0
1049,817.0,1,31.0
1050,637.0,1,33.0
1051,639.0,1,22.0
1052,654.0,1,61.0
1053,717.0,1,61.0
1054,658.0,2,11.0
1055,661.0,1,11.0
1056,673.0,1,22.0
1057,685.0,2,11.0
1058,696.0,1,21.0
1059,720.0,1,13.0
1060,731.0,2,37.0
1061,735.0,1,34.0
1062,741.0,1,21.0
1063,745.0,1,31.0
1064,763.0,1,51.0
1065,770.0,1,37.0
1066,836.0,1,37.0
1067,778.0,1,14.0
1068,780.0,1,23.0
1069,952.0,1,23.0
1070,787.0,2,13.0
1071,807.0,9,42.0
1072,818.0,1,23.0
1073,823.0,1,53.0
1074,842.0,1,45.0
1075,927.0,1,45.0
1076,844.0,1,37.0
1077,1006.0,1,37.0
1078,1139.0,1,37.0
1079,848.0,9,31.0
1080,870.0,1,21.0
1081,886.0,1,23.0
1082,1110.0,1,23.0
1083,901.0,1,12.0
1084,1083.0,1,12.0
1085,957.0,1,41.0
1086,1013.0,9,11.0
1087,1017.0,2,34.0
1088,1067.0,2,34.0
1089,1082.0,2,11.0
1090,1090.0,1,33.0
1091,1113.0,1,42.0
1092,1138.0,1,23.0
1093,1179.0,2,32.0
1094,10000.0,1,44.0
